OTU	Sample	Abundance	file	id	round	Kingdom	Phylum	Class	Order	Family	Genus	Species	step
TAXA_124	filt_DRR225057_polished	0.0500143513203215	filt_DRR225057_polished	DRR225057	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola dorei	polish
TAXA_079	filt_DRR225060_polished	0.0466783495300303	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum	polish
TAXA_092	filt_DRR225054_polished	0.0440386024920596	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	polish
TAXA_147	filt_DRR225060_polished	0.0431734905209495	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis	polish
TAXA_182	filt_DRR225060_polished	0.0421645159577293	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia argi	polish
TAXA_142	filt_DRR225048_polished	0.0420171549330792	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	polish
TAXA_007	filt_DRR225046_polished	0.041501976284585	filt_DRR225046_polished	DRR225046	polish	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	polish
TAXA_035	filt_DRR225046_polished	0.0395256916996047	filt_DRR225046_polished	DRR225046	polish	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	polish
TAXA_092	filt_DRR225048_polished	0.0389922512741889	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	polish
TAXA_131	filt_DRR225060_polished	0.0350485900908077	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes	polish
TAXA_116	filt_DRR225060_polished	0.0349954861664277	filt_DRR225060_polished	DRR225060	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	polish
TAXA_093	filt_DRR225048_polished	0.0338540587577176	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella ratti	polish
TAXA_092	filt_DRR225063_polished	0.0302432610124918	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	polish
TAXA_016	filt_DRR225051_polished	0.0301458855710052	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	polish
TAXA_167	filt_DRR225057_polished	0.0301018943742824	filt_DRR225057_polished	DRR225057	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella rara	polish
TAXA_015	filt_DRR225054_polished	0.0298680674322013	filt_DRR225054_polished	DRR225054	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola vulgatus	polish
TAXA_184	filt_DRR225057_polished	0.0298507462686567	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas sp.	polish
TAXA_126	filt_DRR225060_polished	0.0297381976528065	filt_DRR225060_polished	DRR225060	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	polish
TAXA_101	filt_DRR225060_polished	0.0291540544846264	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	polish
TAXA_128	filt_DRR225063_polished	0.0283941485864563	filt_DRR225063_polished	DRR225063	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola coprophilus	polish
TAXA_012	filt_DRR225057_polished	0.0254377152698048	filt_DRR225057_polished	DRR225057	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	polish
TAXA_092	filt_DRR225060_polished	0.0254367797780256	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	polish
TAXA_121	filt_DRR225063_polished	0.0242850098619329	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	polish
TAXA_068	filt_DRR225060_polished	0.0241622855929053	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	polish
TAXA_056	filt_DRR225048_polished	0.0238262959433141	filt_DRR225048_polished	DRR225048	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	polish
TAXA_184	filt_DRR225063_polished	0.023586456278764	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas sp.	polish
TAXA_130	filt_DRR225063_polished	0.0231344510190664	filt_DRR225063_polished	DRR225063	polish	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium LB01	polish
TAXA_059	filt_DRR225048_polished	0.0225417478141963	filt_DRR225048_polished	DRR225048	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	polish
TAXA_119	filt_DRR225057_polished	0.0224598163030999	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	polish
TAXA_142	filt_DRR225051_polished	0.0213699566902211	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	polish
TAXA_124	filt_DRR225060_polished	0.0212415697520047	filt_DRR225060_polished	DRR225060	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola dorei	polish
TAXA_112	filt_DRR225063_polished	0.0211620644312952	filt_DRR225063_polished	DRR225063	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	polish
TAXA_181	filt_DRR225048_polished	0.0207185182115775	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	polish
TAXA_136	filt_DRR225057_polished	0.0193384041331803	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. 5_1_39BFAA	polish
TAXA_093	filt_DRR225054_polished	0.0190569264598094	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella ratti	polish
TAXA_098	filt_DRR225057_polished	0.0185849598163031	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella	Hungatella hathewayi	polish
TAXA_075	filt_DRR225048_polished	0.0182737330626114	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta	polish
TAXA_162	filt_DRR225063_polished	0.0181623931623932	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum	Agathobaculum butyriciproducens	polish
TAXA_075	filt_DRR225057_polished	0.0177956371986223	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta	polish
TAXA_111	filt_DRR225060_polished	0.0175242950454039	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	polish
TAXA_163	filt_DRR225063_polished	0.0174638395792242	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. A254.MGS-108	polish
TAXA_093	filt_DRR225060_polished	0.0172056714991238	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella ratti	polish
TAXA_162	filt_DRR225060_polished	0.0172056714991238	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum	Agathobaculum butyriciproducens	polish
TAXA_182	filt_DRR225048_polished	0.0165333775328389	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia argi	polish
TAXA_068	filt_DRR225063_polished	0.0165187376725838	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	polish
TAXA_117	filt_DRR225060_polished	0.0164622165578036	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii	polish
TAXA_170	filt_DRR225060_polished	0.0160904890871435	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	unknown	unknown	unknown	Clostridia bacterium UC5.1-2E3	polish
TAXA_079	filt_DRR225057_polished	0.0157505740528129	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum	polish
TAXA_147	filt_DRR225048_polished	0.0153731405129905	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis	polish
TAXA_093	filt_DRR225051_polished	0.0152154091634374	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella ratti	polish
TAXA_059	filt_DRR225054_polished	0.0151478133398485	filt_DRR225054_polished	DRR225054	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	polish
TAXA_055	filt_DRR225057_polished	0.0147101033295063	filt_DRR225057_polished	DRR225057	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	polish
TAXA_079	filt_DRR225048_polished	0.0144200886752579	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum	polish
TAXA_015	filt_DRR225063_polished	0.0139710716633794	filt_DRR225063_polished	DRR225063	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola vulgatus	polish
TAXA_156	filt_DRR225060_polished	0.013860124263183	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saudiense	polish
TAXA_089	filt_DRR225063_polished	0.0134779750164366	filt_DRR225063_polished	DRR225063	polish	Bacteria	Actinobacteria <actinobacteria>	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	polish
TAXA_170	filt_DRR225063_polished	0.0131903353057199	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	unknown	unknown	unknown	Clostridia bacterium UC5.1-2E3	polish
TAXA_156	filt_DRR225048_polished	0.013094103509717	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saudiense	polish
TAXA_135	filt_DRR225063_polished	0.0128616042077581	filt_DRR225063_polished	DRR225063	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella xylaniphila	polish
TAXA_181	filt_DRR225057_polished	0.0128444316877153	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	polish
TAXA_111	filt_DRR225054_polished	0.0125824578548742	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	polish
TAXA_119	filt_DRR225054_polished	0.0125824578548742	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	polish
TAXA_015	filt_DRR225051_polished	0.0124800547070891	filt_DRR225051_polished	DRR225051	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola vulgatus	polish
TAXA_183	filt_DRR225057_polished	0.0123062571756602	filt_DRR225057_polished	DRR225057	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CT06	polish
TAXA_014	filt_DRR225057_polished	0.0121627439724455	filt_DRR225057_polished	DRR225057	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	polish
TAXA_134	filt_DRR225057_polished	0.0121268656716418	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	polish
TAXA_142	filt_DRR225054_polished	0.0120938187148791	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	polish
TAXA_004	filt_DRR225057_polished	0.0120551090700344	filt_DRR225057_polished	DRR225057	polish	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	polish
TAXA_079	filt_DRR225063_polished	0.0120397764628534	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum	polish
TAXA_014	filt_DRR225063_polished	0.0119986850756082	filt_DRR225063_polished	DRR225063	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	polish
TAXA_010	filt_DRR225046_polished	0.0118577075098814	filt_DRR225046_polished	DRR225046	polish	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	polish
TAXA_172	filt_DRR225046_polished	0.0118577075098814	filt_DRR225046_polished	DRR225046	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. MF28	polish
TAXA_092	filt_DRR225051_polished	0.0117392295418281	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	polish
TAXA_147	filt_DRR225057_polished	0.0116245694603904	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis	polish
TAXA_115	filt_DRR225057_polished	0.0111581515499426	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown	unknown	butyrate-producing bacterium SM4/1	polish
TAXA_183	filt_DRR225063_polished	0.0108070348454964	filt_DRR225063_polished	DRR225063	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CT06	polish
TAXA_182	filt_DRR225051_polished	0.0107704581718714	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia argi	polish
TAXA_147	filt_DRR225051_polished	0.0107134716206975	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis	polish
TAXA_094	filt_DRR225060_polished	0.0106738888003823	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	polish
TAXA_115	filt_DRR225060_polished	0.0105145770272423	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown	unknown	butyrate-producing bacterium SM4/1	polish
TAXA_015	filt_DRR225057_polished	0.0104047072330654	filt_DRR225057_polished	DRR225057	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola vulgatus	polish
TAXA_189	filt_DRR225057_polished	0.0103688289322618	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. PEA192	polish
TAXA_069	filt_DRR225060_polished	0.0100897456322022	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia producta	polish
TAXA_056	filt_DRR225054_polished	0.00971170290740288	filt_DRR225054_polished	DRR225054	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	polish
TAXA_123	filt_DRR225063_polished	0.00961538461538462	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter glycyrrhizinilyticus	polish
TAXA_075	filt_DRR225051_polished	0.00945976749487121	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta	polish
TAXA_119	filt_DRR225063_polished	0.00936883629191321	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	polish
TAXA_176	filt_DRR225063_polished	0.00895792241946088	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. Marseille-P2398	polish
TAXA_013	filt_DRR225057_polished	0.0085390355912744	filt_DRR225057_polished	DRR225057	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	polish
TAXA_132	filt_DRR225051_polished	0.0084340095737406	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	polish
TAXA_058	filt_DRR225063_polished	0.00825936883629191	filt_DRR225063_polished	DRR225063	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii	polish
TAXA_123	filt_DRR225057_polished	0.00825200918484501	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter glycyrrhizinilyticus	polish
TAXA_111	filt_DRR225063_polished	0.00805391190006575	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	polish
TAXA_176	filt_DRR225051_polished	0.00797811716434921	filt_DRR225051_polished	DRR225051	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. Marseille-P2398	polish
TAXA_119	filt_DRR225060_polished	0.00780627688386172	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	polish
TAXA_068	filt_DRR225057_polished	0.0077138346727899	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium faecium	polish
TAXA_024	filt_DRR225048_polished	0.00766585173828368	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	polish
TAXA_165	filt_DRR225060_polished	0.00764696511072168	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fournierella	Fournierella massiliensis	polish
TAXA_132	filt_DRR225048_polished	0.00762441470186052	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	polish
